#number,value,params_x0,params_x1,params_x2,params_x3,params_x4,params_x5,params_x6,params_x7,params_x8,params_x9,params_x10,params_x11
841,8.860169e+01,-6.835148e-01,-1.389277e-01,-8.276466e-01,7.753986e-02,-7.068904e-01,7.198416e-02,-9.685100e-02,5.983713e-01,-5.111622e-01,-6.149988e-01,9.295459e-01,2.146285e-01
842,7.914466e+01,-5.912643e-01,-1.063223e-01,-9.324325e-01,2.788364e-02,-5.362558e-01,1.526320e-01,-1.139520e-02,3.370912e-01,-5.741874e-01,-8.331712e-01,8.929421e-01,1.172165e-01
843,8.568303e+01,-7.232222e-01,-2.163618e-01,-7.445739e-01,1.043164e-01,-7.159728e-01,1.133898e-01,-7.115100e-02,4.777367e-01,-3.994943e-01,-7.192827e-01,9.046646e-01,1.903882e-01
844,8.867799e+01,-7.000772e-01,-1.917587e-01,-9.322577e-01,2.434356e-02,-6.903615e-01,1.341208e-01,-8.639500e-02,5.026489e-01,-4.079589e-01,-7.591479e-01,7.002769e-01,1.410346e-01
845,8.870504e+01,-8.111350e-01,-1.766915e-01,-9.619240e-01,5.204246e-02,-7.129794e-01,1.027346e-01,-1.775008e-01,4.703978e-01,-4.626708e-01,-6.689719e-01,7.497317e-01,9.505987e-02
846,7.483697e+01,-6.905319e-01,-3.416064e-02,-8.499881e-01,8.145285e-02,-5.752430e-01,5.255398e-02,2.621485e-02,5.151995e-01,-4.982127e-01,-5.729713e-01,8.269779e-01,1.451576e-01
847,9.237968e+01,-7.452151e-01,-2.045851e-01,-9.356517e-01,3.310903e-02,-6.337044e-01,7.381156e-02,-1.224824e-01,5.340367e-01,-3.647462e-01,-7.055025e-01,6.888243e-01,9.806463e-02
848,8.364534e+01,-7.042921e-01,-3.310973e-01,-9.330290e-01,-2.084315e-03,-6.628266e-01,1.317656e-02,-1.964999e-01,5.784434e-01,-3.694245e-01,-6.040766e-01,7.819990e-01,1.471825e-01
849,8.951433e+01,-7.988224e-01,-2.968401e-01,-8.440724e-01,-6.282865e-02,-5.687786e-01,6.109965e-02,-2.868772e-01,4.998180e-01,-1.827814e-01,-6.516209e-01,6.776079e-01,1.010701e-01
850,8.346799e+01,-6.345001e-01,-2.344436e-01,-7.873296e-01,2.724086e-02,-6.457261e-01,2.234652e-02,-1.766189e-01,4.309124e-01,-3.751461e-01,-7.320890e-01,6.556766e-01,1.412076e-01
851,8.597045e+01,-7.596771e-01,-1.112596e-01,-9.050061e-01,-4.844803e-03,-5.789430e-01,-2.450229e-02,-2.194223e-01,5.403411e-01,-3.514713e-01,-7.272078e-01,7.850761e-01,4.103663e-02
852,9.260904e+01,-7.466447e-01,-2.645671e-01,-9.233540e-01,-5.072851e-02,-5.598740e-01,5.869904e-03,-1.911069e-01,6.077693e-01,-3.431460e-01,-6.936917e-01,6.068497e-01,5.083045e-02
853,9.274323e+01,-6.483952e-01,-7.970755e-02,-9.278662e-01,1.180729e-01,-6.100336e-01,2.344206e-01,-2.423118e-02,5.591406e-01,-6.111252e-01,-5.723793e-01,7.727359e-01,2.949306e-02
854,9.231333e+01,-6.158068e-01,-2.447086e-01,-9.509875e-01,1.461224e-03,-5.709586e-01,1.504186e-01,-1.218821e-01,5.184902e-01,-3.509828e-01,-6.948281e-01,7.055833e-01,8.920216e-02
855,8.698085e+01,-7.967385e-01,-2.315687e-01,-9.738557e-01,-2.871914e-02,-7.638300e-01,1.452160e-01,-8.541901e-02,4.643359e-01,-4.060541e-01,-6.114217e-01,8.873026e-01,1.207676e-01
856,9.473129e+01,-7.081930e-01,-2.206023e-01,-9.348225e-01,1.002081e-01,-6.977274e-01,2.714154e-01,-2.322806e-01,5.975269e-01,-4.336457e-01,-6.302888e-01,6.666223e-01,1.431739e-01
857,8.244432e+01,-7.964096e-01,-3.696398e-01,-9.232907e-01,-2.393581e-02,-9.406755e-01,6.799742e-02,-1.337853e-01,5.411400e-01,-3.876196e-01,-6.335682e-01,5.882524e-01,2.819470e-01
858,7.931328e+01,-7.496287e-01,-1.300594e-01,-8.909871e-01,2.220687e-02,-6.757082e-01,1.169616e-01,-2.628814e-01,4.978848e-01,-4.691544e-01,-5.921357e-01,8.061281e-01,1.481070e-01
859,9.167241e+01,-7.504065e-01,-1.626309e-01,-7.760732e-01,8.520670e-03,-5.629582e-01,1.495870e-01,-1.877111e-01,6.651541e-01,-4.806906e-01,-5.878863e-01,6.406667e-01,6.375779e-02
860,9.030082e+01,-6.805272e-01,-6.423148e-03,-9.747662e-01,8.561384e-02,-5.755812e-01,2.641878e-01,-1.733552e-01,4.818629e-01,-5.242575e-01,-7.453261e-01,7.167720e-01,1.369851e-01
861,9.016569e+01,-6.462714e-01,-1.233461e-01,-9.586946e-01,1.120628e-01,-7.197171e-01,1.515384e-01,-9.573602e-02,5.070382e-01,-4.822937e-01,-6.100440e-01,7.164869e-01,4.774086e-02
862,7.880713e+01,-7.854315e-01,-1.779290e-01,-9.044022e-01,1.158699e-01,-6.556485e-01,6.930463e-02,-1.695860e-02,5.299179e-01,-6.380906e-01,-6.683031e-01,6.545997e-01,2.327071e-01
863,8.325120e+01,-5.374891e-01,-7.967104e-02,-9.106449e-01,1.825156e-01,-4.864407e-01,3.062205e-01,-1.988313e-01,5.853289e-01,-5.148176e-01,-7.815106e-01,8.025847e-01,-5.562964e-02
864,8.911683e+01,-7.819031e-01,-1.433649e-01,-9.497331e-01,1.367552e-01,-6.762760e-01,2.658707e-01,-1.488791e-02,6.928493e-01,-5.597264e-01,-5.543286e-01,7.205258e-01,1.686935e-01
865,9.169345e+01,-8.697588e-01,-1.799328e-01,-9.353122e-01,2.900872e-03,-6.529473e-01,2.738265e-01,-1.640968e-01,4.429512e-01,-4.753173e-01,-6.292418e-01,6.436787e-01,1.153489e-01
866,8.727485e+01,-6.578311e-01,-2.113082e-01,-9.223033e-01,6.206543e-02,-6.179711e-01,2.131614e-01,-2.797059e-01,4.775101e-01,-3.889859e-01,-6.411601e-01,6.980607e-01,-1.330031e-02
867,8.165769e+01,-7.652747e-01,-2.567997e-01,-9.446995e-01,5.139093e-03,-6.226739e-01,1.110383e-01,-1.302150e-01,5.743360e-01,-4.234059e-01,-6.671580e-01,5.312770e-01,5.596943e-02
868,8.790392e+01,-7.233453e-01,-7.850111e-02,-8.904889e-01,7.422561e-02,-6.967111e-01,1.523489e-01,-2.877186e-02,5.298596e-01,-5.038079e-01,-7.231877e-01,7.369615e-01,7.435093e-02
869,8.944332e+01,-6.964121e-01,-3.353467e-01,-9.234515e-01,2.811464e-02,-6.022942e-01,2.000603e-01,-1.982848e-01,8.109118e-01,-4.751223e-01,-5.433496e-01,6.944939e-01,5.649717e-02
870,8.401924e+01,-7.100568e-01,-1.505958e-01,-8.623859e-01,-4.260151e-02,-5.813989e-01,2.722657e-01,-1.092474e-01,5.159763e-01,-6.135043e-01,-5.697095e-01,6.904765e-01,1.817778e-01
871,8.790210e+01,-8.648852e-01,-1.269837e-01,-7.788494e-01,-5.844970e-02,-5.319646e-01,1.930845e-01,-8.754556e-02,4.985654e-01,-5.361349e-01,-5.848488e-01,6.056056e-01,1.799297e-01
872,9.556047e+01,-7.617625e-01,-2.230765e-01,-8.345335e-01,-7.288093e-02,-3.872606e-01,1.737771e-01,-2.187659e-01,5.300294e-01,-4.296902e-01,-7.142481e-01,5.188545e-01,-1.635100e-02
873,8.937578e+01,-6.914294e-01,-2.785288e-01,-9.517312e-01,1.294855e-01,-6.807682e-01,2.348040e-01,-2.709336e-01,7.090931e-01,-4.041445e-01,-7.592889e-01,6.535189e-01,4.792465e-02
874,8.019532e+01,-8.945953e-01,-1.337235e-01,-9.546246e-01,5.613562e-02,-8.226771e-01,9.700932e-02,-1.141166e-02,5.912001e-01,-6.136912e-01,-6.887566e-01,7.483672e-01,1.001495e-01
875,8.175381e+01,-7.807026e-01,-2.447323e-01,-9.983696e-01,1.780671e-03,-6.935132e-01,2.986228e-01,-3.538582e-01,6.934953e-01,-2.778937e-01,-7.110105e-01,5.952120e-01,1.231501e-01
876,8.660332e+01,-6.897320e-01,-9.676897e-02,-7.969214e-01,8.225671e-02,-7.403160e-01,2.637960e-01,-2.638528e-02,5.617602e-01,-5.588132e-01,-4.617491e-01,7.087067e-01,2.052365e-01
877,8.513622e+01,-8.579120e-01,-1.082702e-01,-8.668776e-01,-1.080384e-01,-5.567156e-01,2.610133e-01,-1.547611e-01,4.979010e-01,-5.178796e-01,-6.384635e-01,5.110954e-01,-3.732041e-02
878,8.643542e+01,-8.367891e-01,-1.551821e-01,-9.467158e-01,2.393928e-02,-6.431256e-01,2.101152e-01,-1.377649e-01,6.668697e-01,-5.515106e-01,-4.045483e-01,6.855329e-01,5.091869e-02
879,9.181371e+01,-7.790669e-01,-1.565778e-01,-8.159767e-01,1.168768e-01,-6.393424e-01,1.723348e-01,-1.036473e-01,5.650626e-01,-6.467324e-01,-5.240909e-01,7.227849e-01,1.307256e-01
880,7.850989e+01,-7.629871e-01,-1.595614e-01,-8.261581e-01,3.446508e-02,-6.641654e-01,2.139988e-01,-1.784828e-01,4.249026e-01,-4.872249e-01,-6.639017e-01,6.285383e-01,1.198476e-01
