#number,value,params_x0,params_x1,params_x2,params_x3,params_x4,params_x5,params_x6,params_x7,params_x8,params_x9,params_x10,params_x11
63,2.319944e+01,7.260174e-01,-5.052143e-02,7.918906e-02,-3.773732e-01,-9.757151e-01,6.384337e-01,-2.609589e-01,-2.840114e-02,7.457407e-02,-3.784186e-01,2.333938e-01,-3.096337e-01
64,2.310238e+01,5.017194e-01,5.297083e-01,5.646780e-01,-5.056569e-02,-1.577132e-01,1.983116e-01,-3.351764e-01,-8.350820e-01,-2.851924e-01,-4.615764e-01,-2.371737e-01,-8.209986e-01
65,3.275533e+01,2.135672e-01,4.467339e-01,-1.667909e-01,-3.333943e-01,-6.354020e-01,2.901331e-02,-4.451713e-01,-2.909517e-01,6.931849e-02,7.662828e-02,-1.181462e-01,-3.754100e-01
66,2.720200e+01,8.514794e-01,2.670535e-01,4.361587e-01,-1.219218e-02,-5.585040e-01,1.111101e-01,-8.507646e-01,-4.414892e-01,-1.524214e-01,-3.414504e-01,7.335004e-01,-3.627843e-01
67,2.680337e+01,2.803616e-01,8.298964e-01,6.317577e-02,-3.104129e-01,-4.232899e-01,1.636420e-01,-8.545603e-01,-3.526103e-01,4.462393e-01,-1.116087e-01,2.234164e-01,-1.324009e-01
68,2.221074e+01,3.410534e-01,2.160229e-01,1.359431e-01,-1.683722e-01,-3.976021e-01,2.419885e-01,1.408130e-01,-2.827869e-03,-2.298075e-01,-3.165268e-01,2.471254e-01,-2.977076e-01
69,2.525780e+01,2.604908e-01,2.961845e-01,-3.573031e-02,-1.099075e-01,-3.989557e-01,-1.812801e-01,-4.980338e-01,-3.383954e-01,4.605171e-01,-4.533138e-04,4.287161e-01,1.084091e-01
70,3.249361e+01,5.482805e-01,7.193505e-01,6.675268e-02,-1.416929e-01,-6.132458e-01,1.499502e-01,-6.790460e-01,-1.215215e-01,1.680297e-02,-3.878557e-01,-1.237703e-01,-1.128743e-01
71,3.216899e+01,5.576588e-01,-7.323917e-02,5.771056e-02,9.866964e-02,-6.274085e-01,2.095309e-01,-3.567365e-01,-2.274146e-01,2.211337e-01,-4.651261e-01,-2.371542e-02,-4.417477e-01
72,2.755203e+01,2.899077e-01,2.056997e-01,2.806777e-01,-1.865970e-01,-3.336971e-01,9.432970e-02,-6.453233e-01,-4.092427e-01,8.478172e-02,-6.042483e-02,2.261114e-01,-3.148550e-01
73,1.203273e+01,1.086983e-01,2.027961e-01,-1.046703e-01,-5.568668e-01,-6.004889e-02,2.398692e-01,-2.826209e-01,4.809879e-01,7.587906e-02,1.475181e-01,3.106628e-01,-3.537794e-01
74,2.111181e+01,-4.479882e-02,5.768594e-01,-1.141137e-01,-4.799821e-01,-9.397481e-01,-3.517694e-01,-4.881536e-01,-2.062175e-01,-5.354921e-01,-4.890580e-01,4.645720e-01,-1.902939e-01
75,3.194085e+01,2.461164e-01,2.645099e-01,-4.269424e-02,2.207647e-01,-2.657413e-01,5.693247e-02,-3.030164e-01,-5.588042e-03,2.349586e-01,-5.856716e-03,2.340006e-01,-1.582881e-01
76,2.146357e+01,3.102161e-01,2.925622e-01,-1.838847e-01,-5.946489e-02,-4.920521e-01,-1.109362e-01,2.708658e-01,-4.600286e-01,-2.625595e-01,4.926322e-02,4.977498e-01,-3.937789e-01
77,2.139998e+01,4.019866e-01,2.114575e-02,5.531057e-01,-6.278098e-03,-3.435411e-01,-2.170657e-01,-8.368059e-02,-5.818766e-01,-6.912930e-01,1.450497e-01,5.195500e-02,-2.103119e-01
78,2.738671e+01,4.305203e-01,3.508125e-01,-2.047065e-02,8.136512e-02,-4.607471e-01,3.645603e-01,-3.634995e-01,5.739299e-02,-7.049328e-02,-1.455775e-02,-1.318082e-01,2.471683e-02
79,2.691010e+01,4.536725e-01,6.046022e-01,-2.927555e-01,2.895997e-01,-7.915525e-02,1.664348e-01,-7.579990e-01,-6.363945e-02,4.653800e-02,-3.095039e-01,5.443164e-01,-1.109009e-02
80,2.632563e+01,4.423824e-01,2.982440e-01,1.867104e-01,-6.911660e-02,-2.609392e-01,2.263373e-01,-3.744869e-01,-3.725203e-01,4.955233e-02,-1.872122e-01,-6.515029e-01,-5.524643e-01
81,2.591827e+01,6.574194e-01,3.865731e-01,2.170675e-01,-3.231405e-02,-3.400957e-01,1.166108e-01,-4.434798e-01,-6.500309e-02,8.681569e-02,-2.381999e-01,-4.936651e-01,-4.442229e-01
82,2.667419e+01,2.887587e-01,6.921326e-01,-2.085512e-01,2.300815e-01,-8.894627e-01,-6.984253e-02,-1.972737e-01,-3.731176e-01,-1.579747e-01,-6.180226e-01,8.045594e-03,-3.183470e-01
83,2.726230e+01,3.304603e-01,3.562841e-01,2.132923e-01,8.448393e-02,-6.023614e-01,5.876971e-01,-2.772210e-01,-3.832978e-01,1.365606e-02,-6.867120e-01,-2.932957e-01,-6.011696e-01
84,2.457744e+01,9.466292e-02,2.035275e-01,-4.619643e-01,-5.281436e-04,-6.709778e-01,-8.444411e-02,-5.770603e-01,-1.562146e-02,9.017363e-02,-4.218346e-01,-1.792440e-01,-7.003271e-02
85,2.247649e+01,3.569289e-01,6.191231e-01,-2.915731e-01,-2.963109e-01,-5.663381e-01,-1.817569e-01,-9.346363e-01,5.365587e-02,2.493579e-01,-3.749284e-01,-2.500875e-01,2.484508e-02
86,1.680179e+01,6.612260e-01,2.461588e-01,4.584782e-01,2.079518e-01,-2.621646e-01,2.929748e-01,-3.870918e-01,-3.960518e-01,8.696951e-02,1.872726e-02,-7.999699e-02,-5.442235e-01
87,2.615831e+01,4.012899e-01,-4.632486e-02,2.125766e-01,-8.086009e-02,-6.512333e-01,-4.479066e-02,-5.973522e-01,-4.281960e-01,-2.666798e-02,-2.228137e-01,1.571516e-01,-2.605160e-01
88,2.226870e+01,7.108585e-01,5.411767e-01,6.886899e-02,1.156357e-01,-4.458630e-01,-1.244319e-01,-6.220675e-01,-2.210707e-01,4.148512e-01,-5.819714e-01,-9.060595e-02,-2.436338e-01
89,3.200423e+01,3.151962e-01,1.512680e-02,8.357715e-02,3.858767e-01,-5.301110e-01,1.815604e-01,-4.779171e-01,-2.554511e-01,3.533411e-01,-2.025743e-01,2.800701e-01,-2.765374e-01
