#number,value,params_x0,params_x1,params_x2,params_x3,params_x4,params_x5,params_x6,params_x7,params_x8,params_x9,params_x10,params_x11
62,7.786745e+01,-9.889767e-01,-8.985801e-01,-3.702392e-01,2.945432e-02,5.070145e-01,2.673859e-02,-7.281163e-01,-8.365871e-01,3.697257e-02,-9.979739e-01,7.162087e-01,-7.187784e-01
63,8.310758e+01,-9.898294e-01,-9.160735e-01,-3.809691e-01,2.088917e-02,4.963304e-01,2.133808e-01,-8.965996e-01,-8.533910e-01,-5.592112e-02,-9.811282e-01,7.155487e-01,-6.381337e-01
64,7.715857e+01,-9.908968e-01,-8.978527e-01,-3.351216e-01,3.307899e-02,5.187820e-01,2.283571e-01,-7.261073e-01,-8.196016e-01,-8.557084e-02,-9.892185e-01,8.020265e-01,-6.552833e-01
65,6.936751e+01,-9.980495e-01,-9.159817e-01,-3.520733e-01,4.050075e-02,2.961618e-01,3.294808e-01,-7.031778e-01,-8.206012e-01,-1.289628e-01,-9.979515e-01,8.241914e-01,-7.200242e-01
66,6.600800e+01,-7.253428e-01,-8.755836e-01,-3.229632e-01,-7.419852e-02,4.329283e-01,2.484956e-01,-5.749321e-01,-9.089868e-01,-4.458049e-02,-7.099239e-01,7.605935e-01,-6.188540e-01
67,7.743737e+01,-8.640110e-01,-9.924914e-01,-2.497550e-01,3.159759e-02,3.757181e-01,1.586072e-01,-4.969073e-01,-8.349413e-01,-3.012437e-01,-9.268505e-01,6.607184e-01,-7.620873e-01
68,7.590204e+01,-8.573360e-01,-9.832516e-01,-2.625453e-01,3.605638e-02,3.543777e-01,4.657025e-01,-4.805803e-01,-8.303696e-01,-3.837425e-01,-9.625355e-01,6.611306e-01,-7.501112e-01
69,6.618870e+01,-8.803366e-01,-8.618198e-01,-1.638375e-01,-2.083291e-01,6.210078e-01,1.348400e-01,-8.696280e-01,-7.482737e-01,-2.788572e-01,-9.471589e-01,7.943877e-01,-9.109317e-01
70,7.470488e+01,-7.714394e-01,-9.056079e-01,-3.627439e-01,1.464215e-01,1.919880e-01,-9.411227e-03,-7.128120e-01,-9.503217e-01,1.106135e-01,-7.930931e-01,9.446273e-01,-6.562249e-01
71,8.047333e+01,-9.627201e-01,-9.740907e-01,-2.535132e-01,2.289854e-03,3.690872e-01,3.811613e-01,-4.926257e-01,-8.331597e-01,-3.508592e-01,-9.297170e-01,6.571395e-01,-7.525993e-01
72,6.931672e+01,-9.840623e-01,-9.940486e-01,-5.251561e-01,-3.127927e-02,2.820196e-01,3.881882e-01,-6.306258e-01,-6.920028e-01,3.499752e-02,-9.315284e-01,6.994592e-01,-8.162189e-01
73,8.801319e+01,-8.078764e-01,-8.146924e-01,-1.902753e-01,-1.207832e-01,4.601531e-01,1.993068e-01,-4.183584e-01,-8.611503e-01,-1.666770e-01,-9.088238e-01,5.366149e-01,-6.092997e-01
74,6.929293e+01,-8.200609e-01,-8.351965e-01,-1.798171e-01,-1.269789e-01,4.205427e-01,1.744787e-01,-4.045566e-01,-5.914204e-01,-2.370519e-01,-6.918361e-01,6.292685e-01,-7.404787e-01
75,8.840867e+01,-9.097215e-01,-7.861318e-01,-3.945571e-01,-2.568054e-01,7.244935e-01,-7.080289e-02,-5.396036e-01,-8.739071e-01,-5.348958e-01,-9.033336e-01,5.433952e-01,-8.878648e-01
76,7.578768e+01,-7.076904e-01,-5.834872e-01,-3.865714e-01,-2.498803e-01,7.429168e-01,-1.524999e-01,-5.410735e-01,-6.945870e-01,-6.609083e-01,-7.677771e-01,5.404407e-01,-8.706053e-01
77,7.111298e+01,-9.307778e-01,-7.931034e-01,-2.789827e-01,-3.159580e-01,5.674260e-01,6.263078e-01,-8.349703e-01,-8.960321e-01,-5.304099e-01,-8.874043e-01,7.450429e-01,-9.351381e-01
78,7.952711e+01,-7.821693e-01,-9.443583e-01,-3.921964e-01,-8.953894e-02,4.758678e-01,-7.594575e-02,-3.544693e-01,-7.878548e-01,3.756312e-02,-8.096103e-01,5.154918e-01,-4.772536e-01
79,8.383665e+01,-7.763807e-01,-8.171529e-01,-1.935357e-01,-8.081088e-02,4.542434e-01,-8.126407e-02,-3.378053e-01,-9.503785e-01,-1.804830e-01,-6.624773e-01,4.949551e-01,-6.134268e-01
80,7.433308e+01,-7.783270e-01,-6.854488e-01,-1.827335e-01,-1.727721e-01,7.417040e-01,-6.759861e-02,-2.995096e-01,-9.472931e-01,-4.890906e-01,-6.242395e-01,5.050372e-01,-4.727907e-01
81,7.238302e+01,-5.975251e-01,-9.460715e-01,-4.015206e-01,-8.277205e-02,4.799020e-01,-1.387623e-01,-4.364378e-01,-7.742544e-01,-2.030188e-01,-7.358431e-01,5.586759e-01,-6.270511e-01
82,8.263050e+01,-6.938249e-01,-7.976644e-01,-7.101521e-02,1.292022e-01,5.770255e-01,3.545332e-01,-3.599251e-01,-8.840129e-01,-1.001916e-01,-8.060923e-01,4.172304e-01,-5.995884e-01
83,8.157476e+01,-7.236744e-01,-7.976866e-01,-7.820960e-02,1.167928e-01,5.922936e-01,3.482867e-01,-2.569215e-01,-8.770460e-01,-3.503336e-01,-8.090947e-01,3.932352e-01,-6.019430e-01
84,8.749872e+01,-6.890724e-01,-7.963399e-01,-4.653688e-02,1.159098e-01,6.599490e-01,3.813957e-01,-2.472842e-01,-8.797375e-01,-3.476744e-01,-8.123068e-01,4.051577e-01,-4.692013e-01
85,7.977071e+01,-6.914358e-01,-7.933190e-01,-8.813915e-02,1.113246e-01,6.469722e-01,3.716453e-01,-2.310283e-01,-8.792732e-01,-3.541503e-01,-6.772876e-01,3.259418e-01,-8.154642e-01
86,6.524497e+01,-6.110932e-01,-6.440209e-01,5.278211e-02,-3.223044e-02,5.888489e-01,4.687257e-01,-2.727106e-01,-9.623972e-01,-4.583778e-01,-7.547814e-01,4.207670e-01,-5.958682e-01
87,7.747627e+01,-4.711684e-01,-8.455513e-01,-6.008978e-02,1.478257e-01,7.205402e-01,2.836578e-01,-1.459256e-01,-9.930169e-01,-5.730311e-01,-8.939254e-01,3.920428e-01,-4.043381e-01
88,7.147673e+01,-7.464111e-01,-7.878678e-01,-1.343832e-01,-3.765801e-01,6.731804e-01,6.217917e-01,-3.728537e-01,-7.004799e-01,-1.768260e-01,-5.949980e-01,2.708152e-01,-6.680658e-01
89,7.375253e+01,-6.268197e-01,-5.845608e-01,-4.575008e-02,-1.422593e-01,6.017786e-01,1.220577e-01,-4.444350e-01,-8.689162e-01,-3.203795e-01,-8.097133e-01,4.640354e-01,-7.927049e-01
90,7.487361e+01,-8.174357e-01,-6.834474e-01,-1.351696e-01,1.111796e-01,3.890498e-01,4.073112e-01,-2.568519e-01,-9.368801e-01,-1.069606e-01,-6.686342e-01,3.033871e-01,-8.942223e-01
91,6.863164e+01,-6.927747e-01,-8.105175e-01,-1.869327e-01,1.051646e-01,6.452037e-01,3.145633e-01,-1.928614e-01,-8.562295e-01,-3.690312e-01,-7.139352e-01,1.365638e-01,-6.276793e-01
