#number,value,params_x0,params_x1,params_x10,params_x11,params_x2,params_x3,params_x4,params_x5,params_x6,params_x7,params_x8,params_x9
38,2.342077e+01,-3.152030e-01,3.943740e-01,-1.031353e-01,-5.403888e-01,5.224420e-01,-4.822748e-01,3.877842e-01,5.426694e-01,4.058850e-01,2.670006e-01,-5.133736e-01,-6.989892e-02
39,2.056652e+01,-4.722852e-01,2.125155e-02,6.213537e-02,-2.091487e-01,3.061651e-01,7.434443e-01,6.746093e-01,3.301497e-01,5.824971e-01,7.712995e-01,-1.260120e-04,-3.055898e-01
40,2.257496e+01,-1.536259e-01,2.393104e-01,3.891299e-01,9.335350e-02,-3.791193e-02,-3.176041e-01,-8.790474e-01,4.484991e-02,8.951406e-01,-7.898478e-01,5.665062e-01,4.039686e-01
41,1.071938e+01,-3.316831e-01,6.838856e-01,-2.329507e-01,8.079926e-01,7.802304e-01,-1.647362e-01,-1.418908e-02,-4.670400e-02,-5.011459e-01,5.444423e-01,-8.269437e-01,4.326967e-01
42,2.402225e+01,9.754277e-02,8.518908e-01,-3.850005e-01,8.859714e-01,6.472646e-01,4.766859e-02,2.653394e-01,1.124295e-01,-8.772009e-01,4.390644e-01,-6.017936e-01,6.740537e-01
43,2.320007e+01,-7.331735e-02,6.299810e-01,-7.542030e-01,6.799207e-01,4.890664e-01,-3.365990e-01,-1.975491e-01,-1.381747e-01,-1.206294e-01,6.926324e-01,-7.211512e-01,8.043448e-01
44,1.897889e+01,4.513675e-01,7.603756e-01,1.797789e-01,5.000338e-01,7.257485e-02,-6.225666e-01,-9.386935e-01,-5.824800e-01,-5.898565e-01,8.660214e-01,-4.123114e-01,3.657217e-01
45,-2.659882e+00,-4.020317e-01,-1.395320e-01,-1.172919e-01,3.695092e-01,7.989358e-01,-8.210312e-01,-6.723544e-01,-2.921361e-01,-2.617736e-01,5.287846e-01,-5.779694e-01,4.843369e-01
46,2.121967e+01,2.633244e-01,8.627004e-01,-9.424444e-01,-7.802133e-01,-2.290656e-01,2.000938e-01,7.203933e-02,4.118171e-01,-3.358437e-02,-3.484216e-01,-8.897811e-01,6.280989e-02
47,3.228503e+01,5.525436e-01,5.672573e-01,-2.920306e-01,9.082647e-01,-3.645688e-01,-7.090025e-02,4.581982e-01,-9.341447e-01,-4.537799e-01,-1.248281e-01,3.744833e-01,2.192189e-01
48,2.361091e+01,7.318429e-01,5.700082e-01,-2.567162e-02,8.927375e-01,-3.402782e-01,-8.288450e-02,4.330210e-01,-9.828174e-01,-6.715154e-01,-9.865618e-01,4.019628e-01,2.066153e-01
49,1.088143e+01,8.704343e-01,-2.571621e-01,8.559021e-01,-3.066169e-01,-4.364680e-01,9.597811e-01,7.558472e-01,-9.036183e-01,5.041558e-01,-1.382209e-01,1.845130e-01,-4.688527e-02
50,2.027906e+01,6.257024e-01,-4.171273e-01,-2.919590e-01,-9.096194e-01,-5.584278e-01,5.142244e-01,4.750504e-01,-7.389675e-01,2.238248e-01,-2.834619e-01,5.238080e-01,9.878377e-02
51,1.876218e+01,5.256164e-01,4.207936e-01,-3.576521e-01,7.718455e-01,-7.055017e-01,-2.423048e-01,3.056480e-01,1.716141e-01,-3.880960e-01,7.127030e-02,3.742028e-01,2.980284e-01
52,2.392353e+01,4.089387e-01,5.413977e-01,-1.849168e-01,8.885795e-01,-9.634332e-02,-4.757159e-01,1.346296e-01,-8.061398e-01,-5.129808e-01,-4.552737e-01,8.412468e-01,6.007441e-01
53,3.212537e+01,-2.806004e-01,9.268516e-01,-4.359672e-01,6.282079e-01,6.718137e-01,-8.543223e-02,6.549781e-01,-6.527840e-01,-4.835652e-01,2.083186e-01,1.367044e-01,4.968905e-01
54,3.240244e+01,-2.147034e-01,8.675233e-01,-5.601794e-01,5.798458e-01,9.914854e-01,-8.297680e-02,6.673352e-01,-7.178543e-01,-2.662901e-01,-1.771755e-01,9.128248e-02,4.929574e-01
55,1.917149e+01,-2.436224e-01,8.874955e-01,-8.236640e-01,5.945868e-01,9.997885e-01,2.064348e-01,9.038232e-01,-6.820175e-01,-2.111821e-01,1.448058e-01,1.230951e-01,9.484802e-01
56,3.247436e+01,-1.638141e-01,9.807634e-01,-5.605942e-01,5.020024e-01,8.626592e-01,6.230489e-02,6.333020e-01,-8.699099e-01,6.716763e-01,-2.001424e-01,2.696511e-01,3.402916e-01
57,2.172407e+01,-1.584477e-01,9.692105e-01,-5.650355e-01,3.040295e-01,8.580343e-01,2.363616e-01,6.240568e-01,-9.095020e-01,-3.202791e-01,-8.174447e-02,4.636874e-02,5.107181e-01
58,2.116798e+01,-5.350171e-01,9.256486e-01,-7.334017e-01,6.587429e-01,9.251743e-01,-7.209474e-02,8.255431e-01,-9.858183e-01,6.480949e-01,-1.904672e-01,2.590918e-01,7.545828e-01
59,2.640233e+01,-4.049798e-01,9.929163e-01,-6.085855e-01,5.317129e-01,9.169889e-01,5.173903e-02,6.975648e-01,-6.478158e-01,9.245325e-01,2.190055e-01,-9.851196e-02,6.247673e-01
60,1.987951e+01,-9.550404e-03,7.305827e-01,-4.941114e-01,2.148637e-01,8.358938e-01,1.235449e-01,8.621292e-01,-5.217909e-01,7.482380e-01,-2.765484e-02,1.387449e-01,3.399753e-01
61,3.143590e+01,-1.261054e-01,-7.768512e-01,-4.156410e-01,4.438366e-01,-3.753045e-01,4.510777e-02,6.163703e-01,-7.544516e-01,8.216318e-01,-2.184588e-01,4.374562e-01,2.119510e-01
62,3.255478e+01,-2.548545e-01,-7.704903e-01,-4.163823e-01,4.645015e-01,-4.962649e-01,2.688412e-01,6.139209e-01,-7.790781e-01,9.930901e-01,-2.360551e-01,4.314106e-01,2.619858e-01
63,2.040169e+01,-2.274245e-01,-7.376029e-01,-4.169959e-01,4.194335e-01,-4.970395e-01,3.094110e-01,6.607412e-01,-7.528008e-01,8.744256e-01,-2.352799e-01,4.341687e-01,1.355527e-01
64,2.676714e+01,3.092122e-02,-9.584754e-01,-3.183958e-01,1.377101e-01,-6.462086e-01,4.250557e-02,7.582174e-01,-8.433384e-01,7.934609e-01,3.012618e-02,6.229839e-01,2.681229e-01
65,3.257015e+01,-1.099356e-01,-8.397083e-01,-5.623114e-01,3.769115e-01,-6.529899e-01,-1.126649e-01,5.913408e-01,-7.496752e-01,9.750533e-01,-3.268276e-01,2.984807e-01,6.596733e-03
